Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
ARCOR;ALFAJOR TOFI NEGRO 44 GR.;48,61;66;35,78;0;0;7790040116610;65206;21/07/2022
COCA COLA;ALFAJOR TOFI TRIPLE 2 X30;24;35;45,83;0;0;1975;1000;25/06/2019
ARCOR;ALFAJOR TOFI TRIPLE X 73G;135,4;200;47,71;0;0;7790040484801;65206;27/01/2023
TERRABUSI;ALFAJOR TORTA TERRABUSI TRIPLE 70 G;152;200;31,58;0;-100;77903860;830;27/12/2022
TERRABUSI;ALFAJOR TRISHOT;157,28;200;27,16;1057;12;77956699;765;28/01/2023
MARCOS DISTRIBUCIONES;ALFAJOR VIMAR;13;20;53,85;87;12;77958365;322;27/09/2019
ANALGESICOS;ALIKAL;66,66;100;50,02;0;0;15;143;23/09/2022
ANALGESICOS;ALMAXIMO;75;100;33,33;504;12;3351;77;10/09/2022
ARCOR;ALMENDRAS CON CHOCOLATE;191,9;242;26,11;1320,06;14,65;7790580415709;2;21/07/2022
OTROS;Alquiler Veh°culo DOMINIO AB066HT;0;0;0;0;12;3195;10;29/02/2020
OTROS;Alquiler Veh°culo DOMINIO AC331WV;0;0;0;0;12;3189;9;30/01/2020
NATY SARAVIA W.T;ALTO MOLINO MALBEC;1100;1400;27,27;7800;18,18;742832556880;490;11/01/2023
ANALGESICOS;ALUMINIO PARA NARGILES ALBABIL;250;330;32;1680;12;3479;7;08/02/2022
OSOLA;AMARGO OBRERO;347;450;29,63;2292;10,08;7790950001969;691;02/09/2022
BARRICA BEBIDAS;AMARGO SERRANO TRES TORRES;15;23;53;0;0;7790950003420;79;
OSOLA;AMARULA 750 ML;5500;7000;27,27;6400;16,36;6001495062508;65476;17/01/2023
ANALGESICOS;AMOXICILINA 500 MG;20,5;30;46,34;0;0;16;65254;02/08/2022
PEJINAKIS;ANANA /PIÛA 1 L;28;35;25;0;0;7794000792265;956;30/01/2018
BARRICA BEBIDAS;ANANA EN RODAJAS SAN REMO;48,33;58;20;0;0;7798022222274;65535;
BARRICA BEBIDAS;ANANA FIZZ DE LOS NI•OS minions;56,35;75;33,1;390;15,35;7798054012874;86;18/12/2019
