Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
OSOLA;AMARGO OBRERO;347;450;29,63;2292;10,08;7790950001969;691;02/09/2022
BARRICA BEBIDAS;AMARGO SERRANO TRES TORRES;15;23;53;0;0;7790950003420;79;
OSOLA;AMARULA 750 ML;4870;6500;33,47;5600;14,99;6001495062508;65475;15/02/2023
ANALGESICOS;AMOXICILINA 500 MG;20,5;30;46,34;0;0;16;65249;02/08/2022
PEJINAKIS;ANANA /PI¾A 1 L;28;35;25;0;0;7794000792265;956;30/01/2018
BARRICA BEBIDAS;ANANA EN RODAJAS SAN REMO;48,33;58;20;0;0;7798022222274;65535;
BARRICA BEBIDAS;ANANA FIZZ DE LOS NIÑOS minions;56,35;75;33,1;390;15,35;7798054012874;86;18/12/2019
HUACHANA MARTIN;ANANA FIZZ DEL VALLE;485;700;44,33;3400;16,84;7790154000027;65308;21/12/2022
BARRICA BEBIDAS;ANANA FIZZ TUNUYAN;40;50;25;275;14,58;7791305000279;-3;18/10/2019
OTROS;ANANA FIZZ VICTORIA;116,28;150;29;770;10,37;7792316000036;988;19/12/2020
TIA MARUCA;ANILLOS DE COCO;48,51;60;23,69;325,99;12;7798082740107;10;08/10/2020
HUACHANA MARTIN;ANIS 8 HNOS X 1L;925;1200;29,73;1070;15,68;7792410505352;390;06/12/2022
CORDOBEZA;ANIS FEUDAL;94;120;27,66;620;10;7790163070356;67;06/05/2022
BARRICA BEBIDAS;APERITIVO APEROL X 750 CC;1650;2100;27,27;11400;15,15;7791200000527;938;28/02/2023
CORDOBEZA;APERITIVO CAMPARI  1 L;1766;2300;30,24;12100;14,19;7791200000640;392;01/03/2023
CORDOBEZA;APERITIVO CAMPARI X750CC;1110;1400;26,13;7650;14,86;7891136052000;59849;08/03/2023
BARRICA BEBIDAS;APERITIVO CARPANO BIANCO;150;500;233,33;1080;20;7790290008291;100;11/02/2023
HUACHANA MARTIN;APERITIVO CYNAR;900;1200;33,33;1050;16,67;7791200000626;851;25/01/2023
BARRICA BEBIDAS;APERITIVO GANCIA + HIELERA ICEBOX;200;280;40;260;30;7790950115505;-8;09/04/2020
BARRICA BEBIDAS;APERITIVO GANCIA 1.25 L;850;1100;29,41;5900;15,69;7790950138870;344;28/01/2023
OSOLA;APERITIVO GANCIA 450 ML;216,16;280;29,53;2860;10,26;7790950000191;427;10/11/2021
OSOLA;APERITIVO GANCIA MARCELA 950 CC;133,33;190;42,5;920;15;7790950002768;73;20/01/2022
